month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
4/1/2023,A DIVISION,4,2,2166,2670,0.81123596
4/1/2023,A DIVISION,5,1,5463,6480,0.84305555
4/1/2023,A DIVISION,5,2,1993,2144,0.9295709
4/1/2023,A DIVISION,6,1,9037,11137,0.81143934
4/1/2023,A DIVISION,6,2,2231,2820,0.7911348
4/1/2023,A DIVISION,7,1,12133,12881,0.94193
4/1/2023,A DIVISION,7,2,3310,3862,0.8570689
4/1/2023,A DIVISION,GS,1,10725,10754,0.9973033
4/1/2023,A DIVISION,GS,2,3326,3336,0.9970024
4/1/2023,B DIVISION,A,1,5674,7495,0.757038
4/1/2023,B DIVISION,A,2,2080,3047,0.68263865
4/1/2023,B DIVISION,B,1,3225,3880,0.8311856
4/1/2023,B DIVISION,C,1,3162,4000,0.7905
4/1/2023,B DIVISION,C,2,978,1560,0.6269231
4/1/2023,B DIVISION,D,1,4389,5551,0.79066837
4/1/2023,B DIVISION,D,2,1680,2161,0.77741784
4/1/2023,B DIVISION,E,1,5942,8128,0.7310532
4/1/2023,B DIVISION,E,2,1739,2100,0.82809526
4/1/2023,B DIVISION,F,1,5858,7835,0.7476707
4/1/2023,B DIVISION,F,2,1528,2094,0.7297039
4/1/2023,B DIVISION,FS,1,4686,4720,0.9927966
4/1/2023,B DIVISION,FS,2,2107,2120,0.99386793
4/1/2023,B DIVISION,G,1,4960,5653,0.87741023
4/1/2023,B DIVISION,G,2,2233,2320,0.9625
4/1/2023,B DIVISION,H,1,3291,3360,0.9794643
4/1/2023,B DIVISION,H,2,1011,1029,0.9825073
4/1/2023,B DIVISION,J,1,5063,5581,0.9071851
4/1/2023,B DIVISION,J,2,2079,2238,0.9289544
4/1/2023,B DIVISION,L,1,10325,10918,0.94568604
4/1/2023,B DIVISION,L,2,3747,3861,0.97047395
4/1/2023,B DIVISION,M,1,4664,5400,0.8637037
4/1/2023,B DIVISION,M,2,2236,2300,0.9721739
4/1/2023,B DIVISION,N,1,6962,9103,0.7648028
4/1/2023,B DIVISION,N,2,1498,2280,0.6570175
4/1/2023,B DIVISION,Q,1,5305,6552,0.8096764
4/1/2023,B DIVISION,Q,2,3311,3882,0.8529109
4/1/2023,B DIVISION,R,1,4526,5552,0.8152017
4/1/2023,B DIVISION,R,2,1645,2160,0.7615741
5/1/2023,A DIVISION,1,1,8252,10055,0.8206862
5/1/2023,A DIVISION,1,2,2283,2596,0.8794299
5/1/2023,A DIVISION,2,1,5412,7198,0.7518755
5/1/2023,A DIVISION,2,2,1393,2002,0.6958042
5/1/2023,A DIVISION,3,1,5700,6612,0.86206895
5/1/2023,A DIVISION,3,2,1679,1870,0.89786094
5/1/2023,A DIVISION,4,1,6972,8134,0.85714287
5/1/2023,A DIVISION,4,2,1780,2388,0.74539363
5/1/2023,A DIVISION,5,1,5723,7025,0.8146619
5/1/2023,A DIVISION,5,2,1248,1474,0.8466757
5/1/2023,A DIVISION,6,1,9480,12241,0.77444655
5/1/2023,A DIVISION,6,2,2188,2518,0.86894363
5/1/2023,A DIVISION,7,1,13209,14165,0.9325097
5/1/2023,A DIVISION,7,2,3050,3414,0.8933802
5/1/2023,A DIVISION,GS,1,11494,11506,0.99895704
5/1/2023,A DIVISION,GS,2,3244,3248,0.99876845
5/1/2023,B DIVISION,A,1,5921,8249,0.717784
5/1/2023,B DIVISION,A,2,1801,2558,0.7040657
5/1/2023,B DIVISION,B,1,3105,4304,0.72142196
5/1/2023,B DIVISION,C,1,3310,4400,0.7522727
5/1/2023,B DIVISION,C,2,1042,1398,0.7453505
5/1/2023,B DIVISION,D,1,3946,6023,0.65515524
5/1/2023,B DIVISION,D,2,1175,1946,0.6038027
5/1/2023,B DIVISION,E,1,6534,9020,0.72439027
5/1/2023,B DIVISION,E,2,1537,1884,0.8158174
5/1/2023,B DIVISION,F,1,6302,8556,0.73655915
5/1/2023,B DIVISION,F,2,1245,1874,0.6643543
5/1/2023,B DIVISION,FS,1,5158,5192,0.9934515
5/1/2023,B DIVISION,FS,2,1925,1932,0.9963768
5/1/2023,B DIVISION,G,1,5357,6259,0.85588753
5/1/2023,B DIVISION,G,2,2215,2368,0.9353885
5/1/2023,B DIVISION,H,1,3588,3671,0.97739035
5/1/2023,B DIVISION,H,2,771,817,0.94369644
5/1/2023,B DIVISION,J,1,5425,6139,0.8836944
5/1/2023,B DIVISION,J,2,1842,2002,0.92007995
5/1/2023,B DIVISION,L,1,11230,12011,0.9349763
5/1/2023,B DIVISION,L,2,3751,3879,0.9670018
5/1/2023,B DIVISION,M,1,4729,5871,0.8054846
5/1/2023,B DIVISION,M,2,899,920,0.9771739
5/1/2023,B DIVISION,N,1,7018,9831,0.7138643
5/1/2023,B DIVISION,N,2,1124,1942,0.57878476
5/1/2023,B DIVISION,Q,1,5390,6932,0.7775534
5/1/2023,B DIVISION,Q,2,1766,2250,0.78488886
5/1/2023,B DIVISION,R,1,4908,6220,0.7890675
5/1/2023,B DIVISION,R,2,1557,1941,0.80216384
6/1/2023,A DIVISION,1,1,8695,10136,0.85783345
6/1/2023,A DIVISION,1,2,2137,2392,0.89339465
6/1/2023,A DIVISION,2,1,6019,7195,0.83655316
6/1/2023,A DIVISION,2,2,1328,1894,0.70116156
6/1/2023,A DIVISION,3,1,5926,6606,0.89706326
6/1/2023,A DIVISION,3,2,1367,1672,0.81758374
6/1/2023,A DIVISION,4,1,7143,8142,0.8773029
6/1/2023,A DIVISION,4,2,1651,2136,0.7729401
6/1/2023,A DIVISION,5,1,6181,7114,0.8688502
6/1/2023,A DIVISION,5,2,1114,1332,0.8363363
6/1/2023,A DIVISION,6,1,10622,12241,0.86773956
6/1/2023,A DIVISION,6,2,1880,2290,0.8209607
6/1/2023,A DIVISION,7,1,13044,14158,0.92131656
6/1/2023,A DIVISION,7,2,2603,2952,0.8817751
6/1/2023,A DIVISION,GS,1,11471,11506,0.99695814
6/1/2023,A DIVISION,GS,2,2788,2788,1
6/1/2023,B DIVISION,A,1,6199,8271,0.74948615
6/1/2023,B DIVISION,A,2,1471,2244,0.65552586
6/1/2023,B DIVISION,B,1,3305,4312,0.76646566
6/1/2023,B DIVISION,C,1,3377,4400,0.7675
6/1/2023,B DIVISION,C,2,834,1248,0.6682692
6/1/2023,B DIVISION,D,1,4217,6035,0.69875723
6/1/2023,B DIVISION,D,2,1367,1728,0.791088
6/1/2023,B DIVISION,E,1,6682,9020,0.74079823
6/1/2023,B DIVISION,E,2,1311,1680,0.7803571
6/1/2023,B DIVISION,F,1,6200,8457,0.7331205
6/1/2023,B DIVISION,F,2,1200,1672,0.71770334
6/1/2023,B DIVISION,FS,1,5157,5192,0.99325883
6/1/2023,B DIVISION,FS,2,1556,1556,1
6/1/2023,B DIVISION,G,1,5328,6216,0.85714287
6/1/2023,B DIVISION,G,2,1685,1856,0.90786636
6/1/2023,B DIVISION,H,1,3548,3683,0.9633451
6/1/2023,B DIVISION,H,2,1128,1252,0.9009585
6/1/2023,B DIVISION,J,1,5539,6137,0.90255827
6/1/2023,B DIVISION,J,2,1478,1786,0.8275476
6/1/2023,B DIVISION,L,1,11056,12012,0.9204129
6/1/2023,B DIVISION,L,2,3443,3776,0.9118114
6/1/2023,B DIVISION,M,1,4729,5825,0.8118455
6/1/2023,B DIVISION,M,2,855,920,0.9293478
6/1/2023,B DIVISION,N,1,6914,9756,0.7086921
6/1/2023,B DIVISION,N,2,1011,1725,0.5860869
6/1/2023,B DIVISION,Q,1,5500,7011,0.7844815
6/1/2023,B DIVISION,Q,2,1398,2068,0.6760155
6/1/2023,B DIVISION,R,1,4867,6224,0.781973
6/1/2023,B DIVISION,R,2,1204,1728,0.6967593
7/1/2023,A DIVISION,1,1,7422,9140,0.812035
7/1/2023,A DIVISION,1,2,3015,3230,0.9334365
7/1/2023,A DIVISION,2,1,5072,6545,0.7749427
7/1/2023,A DIVISION,2,2,2061,2930,0.70341295
7/1/2023,A DIVISION,3,1,5202,5888,0.8834919
7/1/2023,A DIVISION,3,2,1644,1886,0.8716861
7/1/2023,A DIVISION,4,1,5972,7392,0.8079004
7/1/2023,A DIVISION,4,2,2334,2952,0.7906504
7/1/2023,A DIVISION,5,1,5562,6522,0.8528059
7/1/2023,A DIVISION,5,2,1883,2080,0.90528846
7/1/2023,A DIVISION,6,1,9175,11135,0.8239784
7/1/2023,A DIVISION,6,2,2536,3122,0.8122998
7/1/2023,A DIVISION,7,1,11559,12835,0.90058434
7/1/2023,A DIVISION,7,2,3661,4346,0.8423838
7/1/2023,A DIVISION,GS,1,10206,10358,0.98532534
7/1/2023,A DIVISION,GS,2,3819,3822,0.99921507
7/1/2023,B DIVISION,A,1,5667,7500,0.7556
7/1/2023,B DIVISION,A,2,2158,3091,0.69815594
7/1/2023,B DIVISION,B,1,2903,3918,0.74093926
7/1/2023,B DIVISION,C,1,3029,4000,0.75725
7/1/2023,B DIVISION,C,2,1334,1722,0.7746806
7/1/2023,B DIVISION,D,1,4173,5656,0.73780054
7/1/2023,B DIVISION,D,2,1847,2236,0.82602865
7/1/2023,B DIVISION,E,1,6148,8200,0.7497561
7/1/2023,B DIVISION,E,2,1593,2316,0.68782383
7/1/2023,B DIVISION,F,1,5621,7843,0.71669006
7/1/2023,B DIVISION,F,2,1639,2306,0.7107546
7/1/2023,B DIVISION,FS,1,4696,4720,0.99491525
7/1/2023,B DIVISION,FS,2,2342,2346,0.99829495
7/1/2023,B DIVISION,G,1,4784,5656,0.84582746
7/1/2023,B DIVISION,G,2,2454,2822,0.869596
7/1/2023,B DIVISION,H,1,3176,3349,0.9483428
7/1/2023,B DIVISION,H,2,1320,1420,0.92957747
7/1/2023,B DIVISION,J,1,4820,5582,0.8634898
7/1/2023,B DIVISION,J,2,2350,2666,0.8814704
7/1/2023,B DIVISION,L,1,10114,10921,0.9261057
7/1/2023,B DIVISION,L,2,4061,4304,0.9435409
7/1/2023,B DIVISION,M,1,4495,5396,0.83302444
7/1/2023,B DIVISION,M,2,2682,2766,0.96963125
7/1/2023,B DIVISION,N,1,6310,9182,0.68721414
7/1/2023,B DIVISION,N,2,3210,3987,0.80511665
7/1/2023,B DIVISION,Q,1,4792,6309,0.75954986
7/1/2023,B DIVISION,Q,2,2108,3000,0.70266664
7/1/2023,B DIVISION,R,1,4233,5658,0.7481442
7/1/2023,B DIVISION,R,2,2000,2372,0.84317034
8/1/2023,A DIVISION,1,1,8780,10584,0.829554
8/1/2023,A DIVISION,1,2,2235,2382,0.93828714
8/1/2023,A DIVISION,2,1,5910,7494,0.7886309
8/1/2023,A DIVISION,2,2,1378,1798,0.76640713
8/1/2023,A DIVISION,3,1,6039,6886,0.8769968
8/1/2023,A DIVISION,3,2,1083,1254,0.8636364
8/1/2023,A DIVISION,4,1,7181,8634,0.8317118
8/1/2023,A DIVISION,4,2,1791,2136,0.83848315
8/1/2023,A DIVISION,5,1,6356,7549,0.8419658
8/1/2023,A DIVISION,5,2,1684,1978,0.85136503
8/1/2023,A DIVISION,6,1,10474,12868,0.8139571
8/1/2023,A DIVISION,6,2,1933,2336,0.8274829
8/1/2023,A DIVISION,7,1,13468,14768,0.9119718
8/1/2023,A DIVISION,7,2,2646,2844,0.93037975
8/1/2023,A DIVISION,GS,1,11976,12016,0.9966711
8/1/2023,A DIVISION,GS,2,2561,2577,0.9937912
8/1/2023,B DIVISION,A,1,5940,8637,0.6877388
8/1/2023,B DIVISION,A,2,1703,2244,0.7589127
8/1/2023,B DIVISION,B,1,3603,4470,0.8060403
8/1/2023,B DIVISION,C,1,3185,4866,0.65454173
8/1/2023,B DIVISION,C,2,968,1248,0.775641
8/1/2023,B DIVISION,D,1,5416,6676,0.8112642
8/1/2023,B DIVISION,D,2,2787,2995,0.93055093
8/1/2023,B DIVISION,E,1,7337,9398,0.780698
8/1/2023,B DIVISION,E,2,1340,1680,0.79761904
8/1/2023,B DIVISION,F,1,6290,9011,0.6980357
8/1/2023,B DIVISION,F,2,1308,1672,0.78229666
8/1/2023,B DIVISION,FS,1,5400,5428,0.9948416
8/1/2023,B DIVISION,FS,2,1687,1696,0.9946934
8/1/2023,B DIVISION,G,1,5634,6496,0.86730295
8/1/2023,B DIVISION,G,2,1849,2064,0.8958333
8/1/2023,B DIVISION,H,1,3739,3864,0.9676501
8/1/2023,B DIVISION,H,2,1165,1252,0.9305112
8/1/2023,B DIVISION,J,1,5666,6442,0.8795405
8/1/2023,B DIVISION,J,2,1711,1948,0.8783367
8/1/2023,B DIVISION,L,1,11728,12951,0.9055671
8/1/2023,B DIVISION,L,2,2412,2516,0.95866454
8/1/2023,B DIVISION,M,1,5110,5875,0.8697872
8/1/2023,B DIVISION,M,2,1968,2024,0.972332
8/1/2023,B DIVISION,N,1,7533,10152,0.74202126
8/1/2023,B DIVISION,N,2,1188,1728,0.6875
8/1/2023,B DIVISION,Q,1,5718,7266,0.7869529
8/1/2023,B DIVISION,Q,2,1408,1960,0.71836734
8/1/2023,B DIVISION,R,1,5340,6569,0.8129091
8/1/2023,B DIVISION,R,2,1543,1728,0.8929398
9/1/2023,A DIVISION,1,1,7213,9234,0.78113496
9/1/2023,A DIVISION,1,2,3549,3788,0.93690604
9/1/2023,A DIVISION,2,1,4877,6682,0.7298713
9/1/2023,A DIVISION,2,2,1578,2256,0.6994681
9/1/2023,A DIVISION,3,1,4772,5808,0.82162535
9/1/2023,A DIVISION,3,2,1793,2090,0.8578947
9/1/2023,A DIVISION,4,1,5905,7396,0.7984045
9/1/2023,A DIVISION,4,2,2218,2670,0.8307116
9/1/2023,A DIVISION,5,1,5362,6538,0.8201285
9/1/2023,A DIVISION,5,2,1719,2094,0.8209169
9/1/2023,A DIVISION,6,1,8281,10999,0.75288665
9/1/2023,A DIVISION,6,2,2412,3020,0.7986755
9/1/2023,A DIVISION,7,1,11727,12840,0.91331774
9/1/2023,A DIVISION,7,2,3441,3702,0.92949754
9/1/2023,A DIVISION,GS,1,10877,10886,0.9991732
9/1/2023,A DIVISION,GS,2,2433,2440,0.99713117
9/1/2023,B DIVISION,A,1,4877,7562,0.6449352
