ETCID,mode,railroute,routerun,routeblock,triptime,tripday,daytype,raffle,recommend,workshard,defendmetro,goodvalue,satisfaction,frequency,duration ,ontime,connections,accurateinfo,vehseating,stopclean,busshade,vehroom,vehcomfort,vehclean,homelessness,raceharass,sexharrass,crimesafe,grafitti,enforcement,courtesy,buswifi,delayinfo,payeasy,infoplan,stoplighting,escalator1,elevator1,celltrain,traininfo,escalator2,escalator2,carpark,bikepark,topbus1,topbus2,topbus3,toprail1,toprail2,toprail3,caracc,rideoften,yearsriding,smartphone,paytype,faretype,age,fareother,discount,whatdiscount,latinx,black,white,asianpac,natam,another,anotherwhat,hhsize,english,spanish,chinese,tagalog,korean,armenian,anotherlang,whichlang,engskill,income,gender,whatgender,disabilities,lowvision,blind,deafhard,wheelchair,nowheelchair,mentalcog,disabother,whatdisab,lang_count,LowVision_num,Blindness_num,DeafHoH_num,Mobility_num,MobilityNoChair_num,MentalCognitive_num,OtherDisability_num,MultipleDisabilities,Disability_num,Gender_bis,WeightFactor
106226,B,2,2-062,2-062,5,1,1,1,3,4,3,5,4,4,4,3,0,4,2,3,2,4,2,4,3,3,4,3,4,0,4,0,4,5,4,5,5,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,10,6,#NULL!,#NULL!,#NULL!,2,4,1,1,3,4,3,,2,#NULL!,,,Y,,,,,1,,,,,,,Y,Not specified,1,1,2,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,2.00,97
107036,B,2,2-060,2-059,3,1,1,1,3,4,1,4,3,4,3,3,4,4,3,4,3,4,3,4,0,3,4,2,3,3,4,5,3,5,4,0,4,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20,3,15,#NULL!,#NULL!,#NULL!,1,3,4,1,3,5,2,Money,1,2,Y,,,,,,,3,Y,,,,,,,,1,1,2,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,2.00,97
107038,B,2,2-060,2-059,3,1,1,1,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,2,4,2,4,2,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,5,3,1,3,4,3,,2,#NULL!,Y,,,,,,,2,Y,,,,,,,,1,3,1,,1,,,Y,,,,,,0,0,0,1,0,0,0,0,1,3,1.00,97
107040,B,2,2-060,2-059,3,1,1,2,5,5,5,1,4,3,3,3,5,3,3,3,3,3,3,4,5,1,1,1,1,5,1,3,3,1,3,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,5,4,1,1,1,3,,2,#NULL!,,,Y,,,,,99,Y,,,,,,,,1,1,1,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,1.00,97
107043,B,2,2-060,2-059,3,1,1,2,5,5,5,1,4,3,3,3,5,3,3,3,3,3,3,3,5,1,1,1,1,5,1,3,3,1,1,3,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,5,4,1,1,1,3,,2,#NULL!,,,Y,,,,,99,Y,,,,,,,,1,1,1,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,1.00,97
107045,B,2,2-060,2-059,3,1,1,1,4,3,2,5,3,2,0,3,1,1,2,4,1,2,3,4,5,5,5,3,4,5,4,3,3,5,3,3,4,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,5,2,1,1,9,9,,2,#NULL!,Y,Y,,,,,,4,Y,,,,,,,,1,1,1,,1,Y,,,,,,,,0,1,0,0,0,0,0,0,1,1,1.00,97
107047,B,2,2-060,2-059,3,1,1,1,5,5,3,4,4,4,4,4,4,4,4,4,3,4,4,3,3,5,4,4,4,4,5,4,3,5,3,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,5,4,1,2,4,2,,2,#NULL!,Y,,,,,,,5,Y,Y,,,,,,,1,3,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,1.00,97
107049,B,2,2-060,2-059,3,1,1,1,5,5,5,5,4,1,0,5,5,0,5,5,0,1,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,21,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,5,4,1,3,3,4,,1,1,Y,,,,,,,99,,Y,,,,,,,1,2,1,,2,,,,,,,,,1,0,0,0,0,0,0,0,0,#NULL!,1.00,97
107062,B,2,2-060,2-059,3,1,1,2,5,4,3,5,5,5,5,5,5,4,5,3,4,4,4,4,4,3,4,3,3,4,3,5,3,5,5,5,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9,9,9,9,9,9,4,,9,#NULL!,,,,Y,,,,2,Y,,,,,,,,1,9,2,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,2.00,97
107063,B,2,2-060,2-059,3,1,1,1,3,3,3,5,3,3,4,3,3,2,2,2,1,2,3,3,2,4,3,3,3,2,2,1,2,4,4,3,3,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,7,4,#NULL!,#NULL!,#NULL!,2,5,4,1,1,9,3,,2,#NULL!,Y,,,,,,,3,Y,,,,,,,,1,3,2,,2,,,,,,,,,0,0,0,0,0,0,0,0,0,#NULL!,2.00,97
